z  x_alpha x_c xBcoeff
10.001  96.2852850815  0.0183175116532 6.96285938739e+18
10.22102  93.2180691445  0.0160879047344 6.82633308508e+18
10.44544  78.6040394202  0.0139819801959 6.69248338245e+18
10.674349  75.0848017076  0.0121638022613 6.56125826341e+18
10.907836  72.0198854638  0.0106253943808 6.43260623565e+18
11.145992  68.7037185382  0.00910849584107 6.30647680059e+18
11.388912  65.4258400423  0.00760952074717 6.18282045493e+18
11.63669  62.042021714  0.00623711105535 6.06158868834e+18
11.889423  58.5716593944  0.00504506605049 5.94273431577e+18
12.147212  55.0452778386  0.0040525282532 5.82621010375e+18
12.410156  51.4183145536  0.0032513611196 5.71197067122e+18
12.678359  47.8742177863  0.00261883283086 5.59997141438e+18
12.951926  44.1379913876  0.00212631159529 5.49016794657e+18
13.230965  40.7082783641  0.00174831564596 5.38251760854e+18
13.515584  37.2349788853  0.00146376680662 5.27697810622e+18
13.805896  34.0032644599  0.00125262159699 5.17350785249e+18
14.102014  30.9055651324  0.00109629300209 5.07206660577e+18
14.404054  27.9769831995  0.000981305065211 4.97261442115e+18
14.712134  25.1870705133  0.000897679548317 4.87511219579e+18
15.026377  22.5848847153  0.000839214686278 4.77952187646e+18
15.346905  18.4991844855  0.000802945080356 4.68580566877e+18
15.673843  16.3249711559  0.00078595244159 4.59392693637e+18
16.00732  14.4688857991  0.000786941479206 4.50384992791e+18
16.347467  12.7399273094  0.000805255355243 4.41553899573e+18
16.694416  11.1943766185  0.000840569936828 4.32895996295e+18
17.048304  9.78153824132  0.000893552748087 4.24407859676e+18
17.409269  8.49621422146  0.000965450771806 4.16086140582e+18
17.777454  7.33304594168  0.00105820558722 4.07927594699e+18
18.153004  6.27461804099  0.00117399370955 3.99929013799e+18
18.536064  5.34104804257  0.00131579287084 3.9208726019e+18
18.926785  4.48188380079  0.00148700489167 3.84399293506e+18
19.325319  3.75626145142  0.00169193630634 3.76862068497e+18
19.731825  3.10714341092  0.00193594308317 3.69472631983e+18
20.146461  2.55876611493  0.00222569312181 3.62228066553e+18
20.569389  2.08820464731  0.00256935851377 3.55125579223e+18
21.000776  1.68921379221  0.00297682625963 3.48162343478e+18
21.440792  1.35158262063  0.00346001256882 3.41335627292e+18
21.889608  1.07152367958  0.00403271117063 3.34642764459e+18
22.347401  0.811042959561  0.00470884809368 3.28081141833e+18
22.814348  0.624859381258  0.00550333493778 3.2164818411e+18
23.290634  0.479920262435  0.00643280869154 3.15341370485e+18
23.776447  0.363887790668  0.00751582197095 3.09158201784e+18
24.271976  0.273725758555  0.00877303467777 3.03096271687e+18
24.777416  0.203418095022  0.0102274279173 2.97153207705e+18
25.292965  0.149279386789  0.0119045334204 2.91326669428e+18
25.818823  0.107961483889  0.0138326309847 2.85614394128e+18
26.355198  0.0771000699833  0.0160430041966 2.80014126824e+18
26.902302  0.0543512811559  0.0185698638465 2.74523655913e+18
27.460348  0.0374057780595  0.0214470736902 2.69140834208e+18
28.029554  0.0256104250476  0.0247079987675 2.63863571612e+18
28.610146  0.0171399029493  0.0283866585093 2.58689774425e+18
29.202349  0.0113710891441  0.0325170747502 2.53617424491e+18
29.806395  0.00742311232691  0.0371324097979 2.48644543105e+18
30.422522  0.00476699523441  0.0422638495059 2.43769165253e+18
31.050972  0.00300352582855  0.0479391345826 2.38989377098e+18
31.69199  0.00186011219644  0.0541825174659 2.34303324121e+18
32.345829  0.00112062524862  0.061013744076 2.2970914372e+18
33.012745  0.00065940239997  0.0684440301957 2.25205048784e+18
33.693001  0.000383919169502  0.0764728985276 2.20789257355e+18
34.38686  0.00021824831057  0.0850842121879 2.16460060984e+18
