2	2.076220545540141e-08	1.9826445766299902e-08
2.2	1.8790603792804672e-08	2.1053947040235512e-08
2.4200000000000004	1.7003567556462635e-08	2.239760879939381e-08
2.662000000000001	1.5383705646382677e-08	2.3867530390000933e-08
2.9282000000000012	1.3915267839422743e-08	2.547452115083398e-08
3.2210200000000015	1.2583991095998597e-08	2.7230108094596578e-08
3.543122000000002	1.1376960311090754e-08	2.914653153500277e-08
3.897434200000003	1.0282482107497266e-08	3.1236725099953844e-08
4.287177620000003	9.289970421998688e-09	3.351427588417652e-08
4.715895382000004	8.389842803815044e-09	3.5993359884744775e-08
5.187484920200005	7.573426506931466e-09	3.868864750616096e-08
5.706233412220006	6.832873561724536e-09	4.1615173879309e-08
6.276856753442007	6.161084016821134e-09	4.478816878653314e-08
6.9045424287862085	5.551636480204032e-09	4.822284070755947e-08
7.59499667166483	4.998725060564539e-09	5.1934108717735586e-08
8.354496338831312	4.497101902240961e-09	5.5936275112168375e-08
9.189945972714444	4.042024710880673e-09	6.02426316568739e-08
10.108940569985888	3.6292088865919132e-09	6.48649942669485e-08
11.119834626984478	3.254783994991031e-09	6.981316477046456e-08
12.231818089682926	2.9152542159512413e-09	7.509432172955469e-08
13.45499989865122	2.6074621586657785e-09	8.071233986919247e-08
14.800499888516343	2.328555381074838e-09	8.666703005303422e-08
16.280549877367978	2.0759554421926998e-09	9.295329438575793e-08
17.908604865104778	1.8473298492051396e-09	9.956021367727134e-08
19.699465351615256	1.640567059282537e-09	1.0647010599824664e-07
21.669411886776782	1.4537541381126205e-09	1.1365759799994502e-07
23.83635307545446	1.2851562322585227e-09	1.2108872135159409e-07
26.219988382999908	1.1331972110602073e-09	1.2872000829949466e-07
28.841987221299902	9.96442054531373e-10	1.3649762670097504e-07
31.726185943429897	8.735813820701536e-10	1.443566384095684e-07
34.89880453777289	7.634173842969694e-10	1.5222034917275016e-07
38.38868499155018	6.648511662639658e-10	1.599997426321031e-07
42.2275534907052	5.768724958974839e-10	1.6759325750710885e-07
46.45030883977572	4.985512043107974e-10	1.7488700914860428e-07
51.0953397237533	4.290290814039667e-10	1.8175527693903208e-07
56.20487369612863	3.675123507021725e-10	1.8806114569242183e-07
61.8253610657415	3.132655040274295e-10	1.9365751752203492e-07
68.00789717231565	2.6560734748703446e-10	1.983893509375452e-07
74.80868688954722	2.2390777394773614e-10	2.0209720614762314e-07
82.28955557850195	1.8758393292689163e-10	2.0462138992946074e-07
90.51851113635215	1.5609723797012258e-10	2.0580773753604486e-07
99.57036224998737	1.2895127119631293e-10	2.0551610524740444e-07
109.52739847498611	1.0568941784495377e-10	2.036312174014179e-07
120.48013832248473	8.589240749911171e-11	2.0007629783785428e-07
132.52815215473322	6.917579345762568e-11	1.9482974519662648e-07
145.78096737020655	5.518671125543151e-11	1.8794259496024275e-07
160.35906410722723	4.3600253264674545e-11	1.7955438794244615e-07
176.39497051794996	3.411563378107229e-11	1.6990301126000843e-07
194.03446756974498	2.6452160324416122e-11	1.5932045213885257e-07
213.4379143267195	2.034637779349256e-11	1.482109799713485e-07
234.78170575939146	1.5550712290894895e-11	1.370076372774659e-07
258.2598763353306	1.1834590929587163e-11	1.2611467666271657e-07
284.0858639688637	8.987597868044724e-12	1.1584814159921794e-07
312.4944503657501	6.823629708809777e-12	1.0639170019494801e-07
343.7438954023251	5.184235919796306e-12	9.777694578039291e-08
378.11828494255764	3.939864872393602e-12	8.988844528138434e-08
415.93011343681343	2.9887116146734056e-12	8.248742972188547e-08
457.5231247804948	2.2540001175290275e-12	7.525725251531855e-08
503.27543725854434	1.680757507368159e-12	6.78888951556319e-08
553.6029809843989	1.232416586321136e-12	6.022243142901725e-08
608.9632790828388	8.865429844616451e-13	5.241006818186028e-08
669.8596069911227	6.287061136372919e-13	4.496589571334915e-08
736.845567690235	4.452719312748614e-13	3.8528970002666285e-08
810.5301244592586	3.1900281722535196e-13	3.339553893507016e-08
891.5831369051845	2.3083134952533324e-13	2.923650438958069e-08
980.741450595703	1.6559457390783684e-13	2.537569189310608e-08
1078.8155956552735	1.1591623375533953e-13	2.149122670236388e-08
1186.6971552208008	8.013261785396667e-14	1.7975255828998338e-08
1305.366870742881	5.6144496723757e-14	1.5237898257497077e-08
1435.9035578171693	3.954262373222882e-14	1.2984896896707262e-08
1579.4939135988864	2.730137227523661e-14	1.0847143686443035e-08
1737.4433049587751	1.8780967943923743e-14	9.028368498393084e-09
1911.1876354546528	1.302368633528322e-14	7.575091662400614e-09
2102.3063990001183	8.922531376488365e-15	6.279235491670785e-09
2312.5370389001305	6.119049236002373e-15	5.210378024845267e-09
2543.7907427901437	4.1842958594629e-15	4.31097967303177e-09
2798.1698170691584	2.8542034955816156e-15	3.5580199560461705e-09
